university name	QS Rank	THE Rank	Shanghai Rank	JoongAng Rank
Seoul National University	38	62	86	1
Korea Advanced Institute of Science and Technology (KAIST)		82	201-300	
Yonsei University	50	102	201-300	2
Korea University	61	189	201-300	4
Pohang University of Science and Technology (POSTECH)	102	151	301-400	
Sungkyunkwan University	126	102	151-200	3
Hanyang University	159	251-€“300	301-400	5
Ulsan National Institute of Science and Technology (UNIST)	310	201-€“250	201-300	
Kyung Hee University	331	251-€“300	401-500	6
Daegu Gyeongbuk Institute of Science and Technology (DGIST)	370	351-€“400		
Gwangju Institute of Science and Technology (GIST)	385	401-€“500		
Sejong University	392	201-€“250	501-600	17
Pusan National University	473	501-€“600	401-500	
Chung-Ang University	479	401-€“500	701-800	10
Ewha Womans University	504	601-€“800	601-700	7
Kyungpook National University	519	501-€“600	401-500	20
Sogang University	558	801-€“1000		8
Ajou University	563	501-€“600	901-1000	12
Dongguk University	618		801-900	9
Inha University	643	801-€“1000	601-700	14
Konkuk University	654	501-€“600	601-700	10
Hankuk University of Foreign Studies	680			18
Jeonbuk National University	701-710	801-€“1000	701-800	
The Catholic University of Korea	741-750	601-€“800	801-900	
University of Ulsan	801-850	501-€“600	401-500	
University of Seoul	851-900	801-€“1000		14
Chungnam National University	851-900	1001-€“1200	701-800	
Yeungnam University	901-950	601-€“800	501-600	
Chonnam National University	901-950	801-€“1000	501-600	
Sungshin Women's University	1001-1200			
Soonchunhyang University	1001-1200	1201-€“1500		
Seoul National University of Science and Technology (SeoulTech)	1001-1200	1201-€“1500		20
Kookmin University	1001-1200	1201-€“1500		13
Chungbuk National University	1001-1200	1001-€“1200	701-800	
Kangwon National University	1001-1200	1201-€“1500	801-900	
Dankook University	1001-1200	1501+		
Hallym University	1001-1200	1201-€“1500	901-1000	
Pukyong National University	1201-1400	1201-€“1500		
Jeju National University	1201-1400	1001-€“1200		
Sookmyung Women's University	1201-1400			
Tongmyong University	1401+			
Youngsan University	1401+			
Hongik University	1401+	1501+		
Soongsil University	1401+	1201-€“1500		
Kwangwoon University				18
Hanyang University ERICA				16
Gyeongsang National University		1201-€“1500	901-1000	
Gachon University		601-€“800	801-900	
Incheon National University		1201-€“1500		
Korea Advanced Institute of Science and Technology (KAIST)		82	201-300	
Woosong University		1201-€“1500		
Chosun University		1201-€“1500		
Hanseo University		Reporter		
